name,ONS_code,county,region,country,winner_2019,winner_2024,MP_name,winner_votes,percentage_of_total_votes,margin_of_total_votes,Labour,Conservative,Reform UK,Liberal Democrat,Green,Scottish National Party,Plaid Cymru,Sinn Fein,Democratic Unionist Party,Alliance Party,Ulster Unionist Party,Social Democratic and Labour Party,Traditional Unionist Voice,Independent,Other,total_votes,turnout
Doncaster Central,E14001198,South Yorkshire,Yorkshire and the Humber,England,Labour,Labour,Sally Jameson,17515,0.462,0.242,17515,7964,7886,1199,1880,0,0,0,0,0,0,0,0,0,1500,38057,0.508
Doncaster East and the Isle of Axholme,E14001199,South Yorkshire,Yorkshire and the Humber,England,Conservative,Labour,Lee Pitcher,15122,0.386,0.0589,15122,12811,8487,1166,1400,0,0,0,0,0,0,0,0,0,146,39266,0.558
Doncaster North,E14001200,South Yorkshire,Yorkshire and the Humber,England,Labour,Labour,Ed Miliband,16231,0.524,0.297,16231,7105,0,1045,1778,0,0,0,0,0,0,0,0,0,4843,31002,0.444
Dorking and Horley,E14001201,Surrey,South East,England,Conservative,Liberal Democrat,Chris Coghlan,20921,0.419,0.108,4053,15530,6898,20921,2563,0,0,0,0,0,0,0,0,0,0,49965,0.728
Dover and Deal,E14001202,Kent,South East,England,Conservative,Labour,Mike Tapp,18940,0.396,0.158,18940,10370,11355,2595,3106,0,0,0,0,0,0,0,0,0,1409,47749,0.642
Droitwich and Evesham,E14001203,Worcestershire,West Midlands,England,Conservative,Conservative,Nigel Huddleston,19975,0.401,0.181,10980,19975,9456,5131,3828,0,0,0,0,0,0,0,0,0,239,49786,0.65
Dudley,E14001204,West Midlands,West Midlands,England,Conservative,Labour,Sonia Kumar,12215,0.341,0.0531,12215,10315,9442,1056,1154,0,0,0,0,0,0,0,0,0,1614,35796,0.51
Dulwich and West Norwood,E14001205,London,London,England,Labour,Labour,Helen Hayes,27356,0.603,0.414,27356,3873,1801,3485,8567,0,0,0,0,0,0,0,0,0,296,45378,0.611
Dunstable and Leighton Buzzard,E14001206,Bedfordshire,East England,England,Conservative,Labour,Alex Mayer,14976,0.325,0.0145,14976,14309,8071,6497,2115,0,0,0,0,0,0,0,0,0,77,46045,0.62
Ealing Central and Acton,E14001207,London,London,England,Labour,Labour,Rupa Huq,22340,0.468,0.293,22340,8345,3105,6056,5444,0,0,0,0,0,0,0,0,0,2479,47769,0.609
Ealing North,E14001208,London,London,England,Labour,Labour,James Murray,20663,0.478,0.289,20663,8144,3948,2543,4056,0,0,0,0,0,0,0,0,0,3878,43202,0.578
Ealing Southall,E14001209,London,London,England,Labour,Labour,Deirdre Costigan,23000,0.491,0.337,23000,7207,2585,2832,4356,0,0,0,0,0,0,0,0,0,6836,46816,0.595
Earley and Woodley,E14001210,Berkshire,South East,England,Conservative,Labour,Yuan Yang,18209,0.397,0.0185,18209,17361,0,6142,3418,0,0,0,0,0,0,0,0,0,784,45914,0.632
Easington,E14001211,Durham,North East,England,Labour,Labour,Grahame Morris,16774,0.489,0.19,16774,3753,10232,811,1173,0,0,0,0,0,0,0,0,0,1581,34385,0.494
East Grinstead and Uckfield,E14001212,West Sussex,South East,England,Conservative,Conservative,Mims Davies,19319,0.383,0.168,10440,19319,0,10839,5277,0,0,0,0,0,0,0,0,0,4518,50393,0.697
East Ham,E14001213,London,London,England,Labour,Labour,Stephen Timms,19570,0.516,0.339,19570,3876,1340,1210,4226,0,0,0,0,0,0,0,0,0,7670,37892,0.479
East Hampshire,E14001214,Hampstead,South East,England,Conservative,Conservative,Damian Hinds,18509,0.369,0.0254,4967,18509,6476,17234,2404,0,0,0,0,0,0,0,0,0,516,50106,0.709
East Surrey,E14001215,Surrey,South East,England,Conservative,Conservative,Claire Coutinho,17502,0.356,0.151,10052,17502,8380,8833,2957,0,0,0,0,0,0,0,0,0,1472,49196,0.671
East Thanet,E14001216,Kent,South East,England,Conservative,Labour,Polly Billington,17054,0.399,0.163,17054,10083,8591,1365,4590,0,0,0,0,0,0,0,0,0,1030,42713,0.57
East Wiltshire,E14001217,Wiltshire,South West,England,Conservative,Conservative,Danny Kruger,16849,0.357,0.0999,12133,16849,7885,8204,1844,0,0,0,0,0,0,0,0,0,278,47193,0.637
East Worthing and Shoreham,E14001218,West Sussex,South East,England,Conservative,Labour,Tom Rutland,22120,0.451,0.194,22120,12601,7169,3180,3246,0,0,0,0,0,0,0,0,0,762,49078,0.666
Eastbourne,E14001219,East Sussex,South East,England,Conservative,Liberal Democrat,Josh Babarinde,23742,0.521,0.268,2689,11538,6061,23742,1424,0,0,0,0,0,0,0,0,0,154,45608,0.628
Eastleigh,E14001220,Hampstead,South East,England,Conservative,Liberal Democrat,Liz Jarvis,15970,0.344,0.0333,7005,14424,6151,15970,2403,0,0,0,0,0,0,0,0,0,467,46420,0.664
Edmonton and Winchmore Hill,E14001221,London,London,England,Labour,Labour,Kate Osamor,20520,0.5,0.308,20520,7888,3501,2721,3681,0,0,0,0,0,0,0,0,0,2734,41045,0.542
Ellesmere Port and Bromborough,E14001222,Cheshire,North West,England,Labour,Labour,Justin Madders,24186,0.576,0.403,24186,5210,7278,2328,2706,0,0,0,0,0,0,0,0,0,256,41964,0.593
Eltham and Chislehurst,E14001223,London,London,England,Labour,Labour,Clive Efford,20069,0.44,0.185,20069,11640,7428,2423,3079,0,0,0,0,0,0,0,0,0,927,45566,0.614
Ely and East Cambridgeshire,E14001224,Cambridgeshire,East England,England,Conservative,Liberal Democrat,Charlotte Cane,17127,0.327,0.00945,9160,16632,6443,17127,2359,0,0,0,0,0,0,0,0,0,648,52369,0.664
Enfield North,E14001225,London,London,England,Labour,Labour,Feryal Clark,21368,0.491,0.293,21368,8632,5146,2517,3713,0,0,0,0,0,0,0,0,0,2116,43492,0.552
Epping Forest,E14001226,Essex,East England,England,Conservative,Conservative,Neil Hudson,18038,0.432,0.136,12356,18038,0,5268,2486,0,0,0,0,0,0,0,0,0,3605,41753,0.562
Epsom and Ewell,E14001227,Surrey,South East,England,Conservative,Liberal Democrat,Helen Maguire,20674,0.379,0.0676,8325,16988,5795,20674,1745,0,0,0,0,0,0,0,0,0,998,54525,0.703
Erewash,E14001228,Derbyshire,East Midlands,England,Conservative,Labour,Adam Thompson,17224,0.399,0.136,17224,11365,9162,2426,2478,0,0,0,0,0,0,0,0,0,351,43181,0.593
Erith and Thamesmead,E14001229,London,London,England,Labour,Labour,Abena Oppong-Asare,22246,0.551,0.397,22246,5564,5944,1872,3482,0,0,0,0,0,0,0,0,0,1271,40379,0.512
Esher and Walton,E14001230,Surrey,South East,England,Conservative,Liberal Democrat,Monica Harding,28315,0.526,0.223,2846,16312,4777,28315,1396,0,0,0,0,0,0,0,0,0,234,53880,0.728
Exeter,E14001231,Devon,South West,England,Labour,Labour,Steve Race,18225,0.453,0.297,18225,6288,4914,4201,5907,0,0,0,0,0,0,0,0,0,660,40195,0.593
Exmouth and Exeter East,E14001232,Devon,South West,England,Conservative,Conservative,David Reed,14728,0.287,0.00235,14607,14728,7085,11387,2331,0,0,0,0,0,0,0,0,0,1178,51478,0.643
Fareham and Waterlooville,E14001233,Hampstead,South East,England,Conservative,Conservative,Suella Braverman,17561,0.35,0.121,11482,17561,9084,9533,2036,0,0,0,0,0,0,0,0,0,427,50123,0.645
Farnham and Bordon,E14001234,Hampstead,South East,England,Conservative,Conservative,Gregory Stafford,18951,0.358,0.0254,7328,18951,6217,17602,2496,0,0,0,0,0,0,0,0,0,421,53015,0.698
Faversham and Mid Kent,E14001235,Kent,South East,England,Conservative,Conservative,Helen Whately,14816,0.318,0.0315,13347,14816,9884,4158,4218,0,0,0,0,0,0,0,0,0,171,46594,0.627
Feltham and Heston,E14001236,London,London,England,Labour,Labour,Seema Malhotra,16139,0.415,0.206,16139,8195,5130,1821,2543,0,0,0,0,0,0,0,0,0,5059,38494,0.505
Filton and Bradley Stoke,E14001237,Gloucestershire,South West,England,Conservative,Labour,Claire Hazelgrove,22905,0.455,0.199,22905,12905,6819,3596,4142,0,0,0,0,0,0,0,0,0,0,50367,0.649
Finchley and Golders Green,E14001238,London,London,England,Conservative,Labour,Sarah Sackman,21857,0.443,0.0929,21857,17276,2598,3375,3107,0,0,0,0,0,0,0,0,0,1076,49289,0.636
Folkestone and Hythe,E14001239,Kent,South East,England,Conservative,Labour,Tony Vaughan,15020,0.347,0.0862,15020,11291,10685,1736,3954,0,0,0,0,0,0,0,0,0,560,43246,0.617
Forest of Dean,E14001240,Gloucestershire,South West,England,Conservative,Labour,Matt Bishop,16373,0.34,0.00578,16373,16095,8194,2604,4735,0,0,0,0,0,0,0,0,0,90,48091,0.673
Frome and East Somerset,E14001241,Somerset,South West,England,Conservative,Liberal Democrat,Anna Sabine,16580,0.355,0.116,6416,11165,6441,16580,5083,0,0,0,0,0,0,0,0,0,1031,46716,0.663
Fylde,E14001242,Lancashire,North West,England,Conservative,Conservative,Andrew Snowden,15917,0.332,0.0117,15356,15917,8295,2120,1560,0,0,0,0,0,0,0,0,0,4712,48105,0.622
Gainsborough,E14001243,Lincolnshire,East Midlands,England,Conservative,Conservative,Edward Leigh,16636,0.356,0.0757,13104,16636,9916,5001,1832,0,0,0,0,0,0,0,0,0,196,46685,0.616
Gateshead Central and Whickham,E14001244,Tyne and Wear,North East,England,Labour,Labour,Mark Ferguson,18245,0.454,0.277,18245,4628,8601,4987,3217,0,0,0,0,0,0,0,0,0,539,40217,0.585
Gedling,E14001245,Nottinghamshire,East Midlands,England,Conservative,Labour,Michael Payne,23278,0.478,0.244,23278,11397,8211,2473,3122,0,0,0,0,0,0,0,0,0,241,48722,0.633
Gillingham and Rainham,E14001246,Kent,South East,England,Conservative,Labour,Naushabah Khan,15562,0.378,0.0965,15562,11590,8792,2248,2318,0,0,0,0,0,0,0,0,0,630,41140,0.559
Glastonbury and Somerton,E14001247,Somerset,South West,England,Conservative,Liberal Democrat,Sarah Dyke,20364,0.427,0.139,3111,13753,7678,20364,2736,0,0,0,0,0,0,0,0,0,0,47642,0.65
Gloucester,E14001248,Gloucestershire,South West,England,Conservative,Labour,Alex McIntyre,16472,0.361,0.0751,16472,13041,7307,4759,2307,0,0,0,0,0,0,0,0,0,1806,45692,0.575
Godalming and Ash,E14001249,Surrey,South East,England,Conservative,Conservative,Jeremy Hunt,23293,0.426,0.0162,2748,23293,4815,22402,1243,0,0,0,0,0,0,0,0,0,195,54884,0.738
Goole and Pocklington,E14001250,Humberside,Yorkshire and the Humber,England,Conservative,Conservative,David Davis,18981,0.382,0.0718,15409,18981,9054,3380,2451,0,0,0,0,0,0,0,0,0,467,49742,0.635
Gorton and Denton,E14001251,Greater Manchester,North West,England,Labour,Labour,Andrew Gwynne,18555,0.508,0.365,18555,2888,5142,1399,4810,0,0,0,0,0,0,0,0,0,3766,36735,0.468
Gosport,E14001252,Hampstead,South East,England,Conservative,Conservative,Caroline Dinenage,17830,0.403,0.137,11776,17830,7983,4039,1948,0,0,0,0,0,0,0,0,0,701,44277,0.603
Grantham and Bourne,E14001253,Lincolnshire,East Midlands,England,Conservative,Conservative,Gareth Davies,16770,0.364,0.0972,12274,16770,9393,2027,2570,0,0,0,0,0,0,0,0,0,3091,46275,0.629
Gravesham,E14001254,Kent,South East,England,Conservative,Labour,Lauren Sullivan,16623,0.385,0.0627,16623,13911,8910,1534,2254,0,0,0,0,0,0,0,0,0,0,43232,0.592
Great Grimsby and Cleethorpes,E14001255,Humberside,Yorkshire and the Humber,England,Conservative,Labour,Melanie Onn,15336,0.419,0.131,15336,8269,10533,1036,1115,0,0,0,0,0,0,0,0,0,330,36619,0.464
Great Yarmouth,E14001256,Norfolk,East England,England,Conservative,Reform UK,Rupert Lowe,14385,0.353,0.035,12959,10034,14385,1102,1736,0,0,0,0,0,0,0,0,0,532,40748,0.566
Greenwich and Woolwich,E14001257,London,London,England,Labour,Labour,Matthew Pennycook,23999,0.562,0.43,23999,4863,3305,3865,5633,0,0,0,0,0,0,0,0,0,1054,42719,0.581
Guildford,E14001258,Surrey,South East,England,Conservative,Liberal Democrat,Zše Franklin,22937,0.475,0.175,3931,14508,4395,22937,2268,0,0,0,0,0,0,0,0,0,255,48294,0.683
Hackney North and Stoke Newington,E14001259,London,London,England,Labour,Labour,Diane Abbott,24355,0.595,0.368,24355,3457,1283,1562,9275,0,0,0,0,0,0,0,0,0,1027,40959,0.527
Hackney South and Shoreditch,E14001260,London,London,England,Labour,Labour,Meg Hillier,24724,0.593,0.353,24724,2076,1601,1996,9987,0,0,0,0,0,0,0,0,0,1317,41701,0.533
Halesowen,E14001261,West Midlands,West Midlands,England,Conservative,Labour,Alex Ballinger,15023,0.389,0.113,15023,10659,8484,2261,2151,0,0,0,0,0,0,0,0,0,0,38578,0.564
Halifax,E14001262,West Yorkshire,Yorkshire and the Humber,England,Labour,Labour,Kate Dearden,14135,0.351,0.155,14135,7866,7811,2359,4133,0,0,0,0,0,0,0,0,0,3910,40363,0.519
Hamble Valley,E14001263,Hampstead,South East,England,Conservative,Conservative,Paul Holmes,19671,0.364,0.0889,8753,19671,8216,14869,2310,0,0,0,0,0,0,0,0,0,185,54004,0.671
Hammersmith and Chiswick,E14001264,London,London,England,Labour,Labour,Andy Slaughter,24073,0.523,0.332,24073,8783,2929,4292,4468,0,0,0,0,0,0,0,0,0,1476,46021,0.607
Hampstead and Highgate,E14001265,London,London,England,Labour,Labour,Tulip Siddiq,23432,0.483,0.288,23432,8462,2940,6181,6630,0,0,0,0,0,0,0,0,0,905,48550,0.607
Harborough Oadby and Wigston,E14001266,Leicestershire,East Midlands,England,Conservative,Conservative,Neil O'Brien,18614,0.369,0.0472,16236,18614,6332,4732,4269,0,0,0,0,0,0,0,0,0,203,50386,0.651
Harlow,E14001267,Essex,East England,England,Conservative,Labour,Chris Vince,16313,0.376,0.0578,16313,13809,9461,1350,2267,0,0,0,0,0,0,0,0,0,157,43357,0.581
Harpenden and Berkhamsted,E14001268,Hertfordshire,East England,England,Conservative,Liberal Democrat,Victoria Collins,27282,0.502,0.197,4061,16574,4245,27282,1951,0,0,0,0,0,0,0,0,0,223,54336,0.75
Harrogate and Knaresborough,E14001269,North Yorkshire,Yorkshire and the Humber,England,Conservative,Liberal Democrat,Tom Gordon,23976,0.461,0.158,4153,15738,5679,23976,1762,0,0,0,0,0,0,0,0,0,756,52064,0.668
Harrow East,E14001270,London,London,England,Conservative,Conservative,Bob Blackman,25466,0.533,0.244,13786,25466,2188,1511,2006,0,0,0,0,0,0,0,0,0,2820,47777,0.626
Harrow West,E14001271,London,London,England,Labour,Labour,Gareth Thomas,19833,0.438,0.147,19833,13191,2639,2404,2438,0,0,0,0,0,0,0,0,0,4736,45241,0.566
Hartlepool,E14001272,Durham,North East,England,Conservative,Labour,Jonathan Brash,16414,0.462,0.217,16414,7767,8716,572,834,0,0,0,0,0,0,0,0,0,1208,35511,0.501
Harwich and North Essex,E14001273,Essex,East England,England,Conservative,Conservative,Bernard Jenkin,16522,0.344,0.0242,15360,16522,9806,3561,2794,0,0,0,0,0,0,0,0,0,0,48043,0.627
Hastings and Rye,E14001274,East Sussex,South East,England,Conservative,Labour,Helena Dollimore,19134,0.416,0.188,19134,10481,7401,2586,5761,0,0,0,0,0,0,0,0,0,627,45990,0.609
Havant,E14001275,Hampstead,South East,England,Conservative,Conservative,Alan Mak,12986,0.308,0.00218,12894,12986,9959,3275,2861,0,0,0,0,0,0,0,0,0,211,42186,0.582
Hayes and Harlington,E14001276,London,London,England,Labour,Labour,John McDonnell,20405,0.533,0.314,20405,8374,4114,1316,2131,0,0,0,0,0,0,0,0,0,1975,38315,0.53
Hazel Grove,E14001277,Greater Manchester,North West,England,Conservative,Liberal Democrat,Lisa Smart,17328,0.377,0.266,10828,9011,6955,17328,1763,0,0,0,0,0,0,0,0,0,113,45998,0.64
Hemel Hempstead,E14001278,Hertfordshire,East England,England,Conservative,Labour,David Taylor,16844,0.382,0.11,16844,11987,7689,5096,2492,0,0,0,0,0,0,0,0,0,0,44108,0.621
Hendon,E14001279,London,London,England,Conservative,Labour,David Pinto-Duschinsky,15855,0.384,0.000364,15855,15840,3038,1966,2667,0,0,0,0,0,0,0,0,0,1890,41256,0.551
Henley and Thame,E14001280,Oxfordshire,South East,England,Conservative,Liberal Democrat,Freddie Van Mierlo,23904,0.45,0.118,3574,17637,5213,23904,2008,0,0,0,0,0,0,0,0,0,821,53157,0.721
Hereford and South Herefordshire,E14001281,Herefordshire,West Midlands,England,Conservative,Conservative,Jesse Norman,14871,0.326,0.0281,13592,14871,8395,5325,3175,0,0,0,0,0,0,0,0,0,214,45572,0.631
Herne Bay and Sandwich,E14001282,Kent,South East,England,Conservative,Conservative,Roger Gale,17243,0.353,0.0512,14744,17243,10602,2709,3529,0,0,0,0,0,0,0,0,0,0,48827,0.627
Hertford and Stortford,E14001283,Hertfordshire,East England,England,Conservative,Labour,Josh Dean,20808,0.385,0.0879,20808,16060,8325,4167,4373,0,0,0,0,0,0,0,0,0,276,54009,0.684
Hertsmere,E14001284,Hertfordshire,East England,England,Conservative,Conservative,Oliver Dowden,21451,0.447,0.166,13459,21451,6584,3710,2267,0,0,0,0,0,0,0,0,0,536,48007,0.653
Hexham,E14001285,Northumberland,North East,England,Conservative,Labour,Joe Morris,23988,0.463,0.0716,23988,20275,0,2376,2467,0,0,0,0,0,0,0,0,0,2722,51828,0.678
Heywood and Middleton North,E14001286,Greater Manchester,North West,England,Labour,Labour,Elsie Blundell,15069,0.406,0.164,15069,6423,8987,2302,0,0,0,0,0,0,0,0,0,0,4349,37130,0.497
High Peak,E14001287,Derbyshire,East Midlands,England,Conservative,Labour,Jon Pearce,22533,0.458,0.161,22533,14625,6959,1707,3382,0,0,0,0,0,0,0,0,0,0,49226,0.662
Hinckley and Bosworth,E14001288,Leicestershire,East Midlands,England,Conservative,Conservative,Luke Evans,17032,0.356,0.113,8601,17032,8817,11624,1514,0,0,0,0,0,0,0,0,0,211,47799,0.625
Hitchin,E14001289,Hertfordshire,East England,England,Conservative,Labour,Alistair Strathern,23067,0.439,0.154,23067,14958,6760,4913,2631,0,0,0,0,0,0,0,0,0,181,52510,0.699
Holborn and St Pancras,E14001290,London,London,England,Labour,Labour,Keir Starmer,18884,0.489,0.3,18884,2776,2371,2236,4030,0,0,0,0,0,0,0,0,0,8305,38602,0.541
Honiton and Sidmouth,E14001291,Devon,South West,England,Conservative,Liberal Democrat,Richard Foord,23007,0.454,0.132,2947,16307,6289,23007,1394,0,0,0,0,0,0,0,0,0,711,50655,0.672
Hornchurch and Upminster,E14001292,London,London,England,Conservative,Conservative,Julia Lopez,15260,0.325,0.0414,12939,15260,13317,2381,2620,0,0,0,0,0,0,0,0,0,394,46911,0.622
Hornsey and Friern Barnet,E14001293,London,London,England,Labour,Labour,Catherine West,28535,0.587,0.439,28535,4011,1989,6099,7060,0,0,0,0,0,0,0,0,0,948,48929,0.696
Horsham,E14001294,West Sussex,South East,England,Conservative,Liberal Democrat,John Milne,21632,0.39,0.0454,5979,19115,6116,21632,2137,0,0,0,0,0,0,0,0,0,520,55499,0.701
Houghton and Sunderland South,E14001295,Tyne and Wear,North East,England,Labour,Labour,Bridget Phillipson,18837,0.471,0.179,18837,5514,11668,2290,1723,0,0,0,0,0,0,0,0,0,0,40032,0.51
Hove and Portslade,E14001296,East Sussex,South East,England,Labour,Labour,Peter Kyle,27209,0.524,0.383,27209,6630,4558,3046,7418,0,0,0,0,0,0,0,0,0,3048,51909,0.699
Huddersfield,E14001297,West Yorkshire,Yorkshire and the Humber,England,Labour,Labour,Harpreet Uppal,15101,0.376,0.113,15101,6559,6196,1741,10568,0,0,0,0,0,0,0,0,0,0,40165,0.516
Huntingdon,E14001298,Cambridgeshire,East England,England,Conservative,Conservative,Ben Obese-Jecty,18257,0.351,0.0287,16758,18257,8039,4821,3042,0,0,0,0,0,0,0,0,0,1123,52234,0.658
Hyndburn,E14001299,Lancashire,North West,England,Conservative,Labour,Sarah Smith,12186,0.335,0.0461,12186,10499,7541,1210,4938,0,0,0,0,0,0,0,0,0,0,36570,0.478
Ilford North,E14001300,London,London,England,Labour,Labour,Wes Streeting,15647,0.334,0.0112,15647,9619,3621,1088,1794,0,0,0,0,0,0,0,0,0,15119,47008,0.602
Ilford South,E14001301,London,London,England,Labour,Labour,Jas Athwal,16537,0.402,0.167,16537,6142,2329,1340,3437,0,0,0,0,0,0,0,0,0,11385,41338,0.508
Ipswich,E14001302,Suffolk,East England,England,Conservative,Labour,Jack Abbott,19099,0.433,0.168,19099,11696,7027,2241,3652,0,0,0,0,0,0,0,0,0,356,44071,0.584
Isle of Wight East,E14001303,Isle of Wight,South East,England,Conservative,Conservative,Joe Robertson,10427,0.306,0.0975,6264,10427,7104,3550,6313,0,0,0,0,0,0,0,0,0,420,34078,0.61
Isle of Wight West,E14001304,Isle of Wight,South East,England,Conservative,Labour,Richard Quigley,13240,0.386,0.0927,13240,10063,5834,2726,2310,0,0,0,0,0,0,0,0,0,117,34290,0.619
Islington North,E14001305,London,London,England,Labour,Independent,Jeremy Corbyn,24120,0.492,0.148,16873,1950,1710,1661,2660,0,0,0,0,0,0,0,0,0,24152,49006,0.675
Islington South and Finsbury,E14001306,London,London,England,Labour,Labour,Emily Thornberry,22946,0.537,0.361,22946,3584,3388,4045,7491,0,0,0,0,0,0,0,0,0,1300,42754,0.577
Jarrow and Gateshead East,E14001307,Tyne and Wear,North East,England,Labour,Labour,Kate Osborne,18856,0.513,0.244,18856,3354,9892,1740,2384,0,0,0,0,0,0,0,0,0,502,36728,0.523
Keighley and Ilkley,E14001308,West Yorkshire,Yorkshire and the Humber,England,Conservative,Conservative,Robbie Moore,18589,0.403,0.0352,16964,18589,4782,970,2447,0,0,0,0,0,0,0,0,0,2425,46186,0.621
Kenilworth and Southam,E14001309,Warwickshire,West Midlands,England,Conservative,Conservative,Jeremy Wright,19395,0.364,0.123,12821,19395,6920,10464,3125,0,0,0,0,0,0,0,0,0,595,53320,0.712
Kensington and Bayswater,E14001310,London,London,England,Labour,Labour,Joe Powell,17025,0.406,0.0693,17025,14122,2514,2910,2732,0,0,0,0,0,0,0,0,0,2605,41908,0.542
Kettering,E14001311,Northamptonshire,East Midlands,England,Conservative,Labour,Rosie Wrighting,18009,0.359,0.0776,18009,14189,8468,1357,7004,0,0,0,0,0,0,0,0,0,1204,50231,0.643
Kingston and Surbiton,E14001312,London,London,England,Liberal Democrat,Liberal Democrat,Ed Davey,25870,0.511,0.34,6561,8635,4787,25870,3009,0,0,0,0,0,0,0,0,0,1802,50664,0.655
Kingston upon Hull East,E14001313,Humberside,Yorkshire and the Humber,England,Labour,Labour,Karl Turner,13047,0.438,0.131,13047,2715,9127,3252,1675,0,0,0,0,0,0,0,0,0,0,29816,0.422
Kingston upon Hull North and Cottingham,E14001314,Humberside,Yorkshire and the Humber,England,Labour,Labour,Diana Johnson,18480,0.483,0.282,18480,4897,7801,3246,2322,0,0,0,0,0,0,0,0,0,1482,38228,0.508
Kingston upon Hull West and Haltemprice,E14001315,Humberside,Yorkshire and the Humber,England,Conservative,Labour,Emma Hardy,17875,0.468,0.235,17875,6924,8896,2625,1748,0,0,0,0,0,0,0,0,0,110,38178,0.521
Kingswinford and South Staffordshire,E14001316,Staffordshire,West Midlands,England,Conservative,Conservative,Mike Wood,18199,0.403,0.139,11896,18199,9928,2080,2077,0,0,0,0,0,0,0,0,0,1000,45326,0.635
Knowsley,E14001317,Mersyside,North West,England,Labour,Labour,Anneliese Midgley,24243,0.673,0.508,24243,1496,5924,1232,2772,0,0,0,0,0,0,0,0,0,380,36047,0.502
Lancaster and Wyre,E14001318,Lancashire,North West,England,Conservative,Labour,Cat Smith,19315,0.449,0.215,19315,10062,6866,1529,5236,0,0,0,0,0,0,0,0,0,0,43008,0.575
Leeds Central and Headingley,E14001319,West Yorkshire,Yorkshire and the Humber,England,Labour,Labour,Alex Sobel,15853,0.502,0.267,15853,2237,2399,2611,7431,0,0,0,0,0,0,0,0,0,1064,31595,0.448
Leeds East,E14001320,West Yorkshire,Yorkshire and the Humber,England,Labour,Labour,Richard Burgon,18610,0.472,0.285,18610,6898,7345,1445,3506,0,0,0,0,0,0,0,0,0,1584,39517,0.517
Leeds North East,E14001321,West Yorkshire,Yorkshire and the Humber,England,Labour,Labour,Fabian Hamilton,23260,0.515,0.354,23260,7177,3426,2168,5911,0,0,0,0,0,0,0,0,0,3225,45388,0.644
Leeds North West,E14001322,West Yorkshire,Yorkshire and the Humber,England,Conservative,Labour,Katie White,22882,0.46,0.238,22882,10986,5935,5641,3231,0,0,0,0,0,0,0,0,0,1102,49953,0.695
Leeds South,E14001323,West Yorkshire,Yorkshire and the Humber,England,Labour,Labour,Hilary Benn,17117,0.54,0.351,17117,4172,0,1340,5838,0,0,0,0,0,0,0,0,0,3211,32151,0.417
Leeds South West and Morley,E14001324,West Yorkshire,Yorkshire and the Humber,England,Conservative,Labour,Mark Sewards,17681,0.44,0.209,17681,9258,8187,1798,2522,0,0,0,0,0,0,0,0,0,763,40323,0.56
Leeds West and Pudsey,E14001325,West Yorkshire,Yorkshire and the Humber,England,Labour,Labour,Rachel Reeves,18976,0.493,0.322,18976,6584,6281,1743,3794,0,0,0,0,0,0,0,0,0,1116,38494,0.549
Leicester East,E14001326,Leicestershire,East Midlands,England,Labour,Conservative,Shivani Raja,14526,0.311,0.0947,10100,14526,2611,6329,2143,0,0,0,0,0,0,0,0,0,11005,46714,0.61
Leicester South,E14001327,Leicestershire,East Midlands,England,Labour,Independent,Shockat Adam,14739,0.352,0.0234,13760,4820,2470,1425,3826,0,0,0,0,0,0,0,0,0,15536,41837,0.59
Leicester West,E14001328,Leicestershire,East Midlands,England,Labour,Labour,Liz Kendall,15798,0.446,0.248,15798,7021,5666,2179,4089,0,0,0,0,0,0,0,0,0,644,35397,0.48
Leigh and Atherton,E14001329,Greater Manchester,North West,England,Conservative,Labour,Jo Platt,19971,0.485,0.216,19971,6483,11090,1597,1653,0,0,0,0,0,0,0,0,0,376,41170,0.516
Lewes,E14001330,East Sussex,South East,England,Conservative,Liberal Democrat,James MacCleary,26895,0.506,0.237,3574,14271,6335,26895,1869,0,0,0,0,0,0,0,0,0,229,53338,0.698
Lewisham East,E14001331,London,London,England,Labour,Labour,Janet Daby,23646,0.582,0.445,23646,4401,3469,2471,5573,0,0,0,0,0,0,0,0,0,1077,40637,0.554
Lewisham North,E14001332,London,London,England,Labour,Labour,Vicky Foxcroft,15782,0.577,0.345,25467,2701,2000,3284,9685,0,0,0,0,0,0,0,0,0,1030,44167,0.595
Lewisham West and East Dulwich,E14001333,London,London,England,Labour,Labour,Ellie Reeves,27406,0.591,0.396,27406,3477,2234,3558,9009,0,0,0,0,0,0,0,0,0,730,46414,0.662
Leyton and Wanstead,E14001334,London,London,England,Labour,Labour,Calvin Bailey,20755,0.475,0.319,20755,4846,2475,2815,6791,0,0,0,0,0,0,0,0,0,6050,43732,0.596
Lichfield,E14001335,Staffordshire,West Midlands,England,Conservative,Labour,Dave Robertson,17232,0.351,0.0165,17232,16422,9734,3572,1724,0,0,0,0,0,0,0,0,0,420,49104,0.645
Lincoln,E14001336,Lincolnshire,East Midlands,England,Conservative,Labour,Hamish Falconer,18470,0.438,0.209,18470,9677,7602,2580,2751,0,0,0,0,0,0,0,0,0,1080,42160,0.564
Liverpool Garston,E14001337,Mersyside,North West,England,Labour,Labour,Maria Eagle,24510,0.584,0.479,24510,2943,4406,3239,2816,0,0,0,0,0,0,0,0,0,4078,41992,0.606
Liverpool Riverside,E14001338,Mersyside,North West,England,Labour,Labour,Kim Johnson,20039,0.619,0.457,20039,1155,3272,1544,5246,0,0,0,0,0,0,0,0,0,1125,32381,0.454
