name,ONS_code,county,region,country,winner_2019,winner_2024,MP_name,winner_votes,percentage_of_total_votes,margin_of_total_votes,Labour,Conservative,Reform UK,Liberal Democrat,Green,Scottish National Party,Plaid Cymru,Sinn Fein,Democratic Unionist Party,Alliance Party,Ulster Unionist Party,Social Democratic and Labour Party,Traditional Unionist Voice,Independent,Other,total_votes,turnout
Birmingham Erdington,E14001093,West Midlands,West Midlands,England,Labour,Labour,Paulette Hamilton,14774,0.437,0.208,14774,5402,7755,1128,2452,0,0,0,0,0,0,0,0,0,2287,33798,0.436
Birmingham Hall Green and Moseley,E14001094,West Midlands,West Midlands,England,Labour,Labour,Tahir Ali,12798,0.308,0.136,12798,3845,2305,4711,3913,0,0,0,0,0,0,0,0,0,14034,41606,0.541
Birmingham Hodge Hill and Solihull North,E14001095,West Midlands,West Midlands,England,Labour,Labour,Liam Byrne,10655,0.312,0.0459,10655,4634,6456,942,2360,0,0,0,0,0,0,0,0,0,9089,34136,0.439
Birmingham Ladywood,E14001096,West Midlands,West Midlands,England,Labour,Labour,Shabana Mahmood,15558,0.425,0.0935,15558,2218,1477,1711,3478,0,0,0,0,0,0,0,0,0,12137,36579,0.437
Birmingham Northfield,E14001097,West Midlands,West Midlands,England,Conservative,Labour,Laurence Turner,14929,0.397,0.143,14929,9540,7895,1791,2809,0,0,0,0,0,0,0,0,0,688,37652,0.509
Birmingham Perry Barr,E14001098,West Midlands,West Midlands,England,Labour,Independent,Ayoub Khan,13303,0.355,0.0135,12796,4227,2446,1302,2440,0,0,0,0,0,0,0,0,0,14265,37476,0.491
Birmingham Selly Oak,E14001099,West Midlands,West Midlands,England,Labour,Labour,Alistair Carns,17371,0.452,0.3,17371,5834,5732,2324,4320,0,0,0,0,0,0,0,0,0,2842,38423,0.508
Birmingham Yardley,E14001100,West Midlands,West Midlands,England,Labour,Labour,Jess Phillips,11275,0.312,0.0192,11275,3634,5061,3634,1958,0,0,0,0,0,0,0,0,0,10582,36144,0.494
Bishop Auckland,E14001101,Durham,North East,England,Conservative,Labour,Sam Rushworth,17036,0.421,0.165,17036,10364,9466,1373,1857,0,0,0,0,0,0,0,0,0,331,40427,0.491
Blackburn,E14001102,Lancashire,North West,England,Labour,Independent,Adnan Hussain,10518,0.27,0.00339,10386,3474,4844,689,1416,0,0,0,0,0,0,0,0,0,18078,38887,0.53
Blackley and Middleton South,E14001103,Greater Manchester,North West,England,Labour,Labour,Graham Stringer,16864,0.538,0.326,16864,3073,6614,1592,3197,0,0,0,0,0,0,0,0,0,0,31310,0.435
Blackpool North and Fleetwood,E14001104,Lancashire,North West,England,Conservative,Labour,Lorraine Beavers,16744,0.4,0.111,16744,12097,9913,1318,1269,0,0,0,0,0,0,0,0,0,469,41810,0.57
Blackpool South,E14001105,Lancashire,North West,England,Conservative,Labour,Chris Webb,16916,0.481,0.195,16916,5504,10068,1041,1207,0,0,0,0,0,0,0,0,0,444,35180,0.454
Blaydon and Consett,E14001106,Tyne and Wear,North East,England,Labour,Labour,Liz Twist,21160,0.501,0.264,21160,6052,10007,2273,2589,0,0,0,0,0,0,0,0,0,135,42216,0.599
Blyth and Ashington,E14001107,Northumberland,North East,England,Labour,Labour,Ian Lavery,20030,0.496,0.227,20030,6121,10857,1433,1960,0,0,0,0,0,0,0,0,0,0,40401,0.535
Bognor Regis and Littlehampton,E14001108,West Sussex,South East,England,Conservative,Conservative,Alison Griffiths,15678,0.328,0.0369,13913,15678,10262,5081,2185,0,0,0,0,0,0,0,0,0,708,47827,0.616
Bolsover,E14001109,Derbyshire,East Midlands,England,Conservative,Labour,Natalie Fleet,17197,0.405,0.149,17197,10874,9131,1478,3754,0,0,0,0,0,0,0,0,0,0,42434,0.565
Bolton North East,E14001110,Greater Manchester,North West,England,Conservative,Labour,Kirith Entwistle,16166,0.373,0.153,16166,9513,9428,1507,4683,0,0,0,0,0,0,0,0,0,2062,43359,0.542
Bolton South and Walkden,E14001111,Greater Manchester,North West,England,Labour,Labour,Yasmin Qureshi,15093,0.409,0.183,15093,4170,8350,1384,2827,0,0,0,0,0,0,0,0,0,5106,36930,0.464
Bolton West,E14001112,Greater Manchester,North West,England,Conservative,Labour,Phil Brickell,17363,0.389,0.11,17363,12418,8517,1966,4132,0,0,0,0,0,0,0,0,0,202,44803,0.598
Bootle,E14001113,Mersyside,North West,England,Labour,Labour,Peter Dowd,26729,0.688,0.565,26729,1674,4746,1301,3904,0,0,0,0,0,0,0,0,0,526,38880,0.52
Boston and Skegness,E14001114,Lincolnshire,East Midlands,England,Conservative,Reform UK,Richard Tice,15520,0.384,0.0497,7629,13510,15520,1375,1506,0,0,0,0,0,0,0,0,0,915,40455,0.534
Bournemouth East,E14001115,Dorset,South West,England,Conservative,Labour,Tom Hayes,18316,0.408,0.122,18316,12837,6268,3082,2790,0,0,0,0,0,0,0,0,0,1617,44910,0.621
Bournemouth West,E14001116,Dorset,South West,England,Conservative,Labour,Jessica Toale,14365,0.364,0.0818,14365,11141,6647,4311,2614,0,0,0,0,0,0,0,0,0,340,39418,0.561
Bracknell,E14001117,Berkshire,South East,England,Conservative,Labour,Peter Swallow,14783,0.337,0.0179,14783,13999,7445,4768,2166,0,0,0,0,0,0,0,0,0,676,43837,0.612
Bradford East,E14001118,West Yorkshire,Yorkshire and the Humber,England,Labour,Labour,Imran Hussain,14098,0.379,0.167,14098,3450,4952,1910,2571,0,0,0,0,0,0,0,0,0,10235,37151,0.495
Bradford South,E14001119,West Yorkshire,Yorkshire and the Humber,England,Labour,Labour,Judith Cummins,11833,0.358,0.133,11833,4853,7441,954,3366,0,0,0,0,0,0,0,0,0,4595,33042,0.465
Bradford West,E14001120,West Yorkshire,Yorkshire and the Humber,England,Labour,Labour,Naz Shah,11724,0.316,0.0191,11724,3055,2958,756,3690,0,0,0,0,0,0,0,0,0,14898,37081,0.476
Braintree,E14001121,Essex,East England,England,Conservative,Conservative,James Cleverly,17414,0.355,0.0749,13744,17414,11346,2879,2878,0,0,0,0,0,0,0,0,0,767,49028,0.63
Brent East,E14001122,London,London,England,Labour,Labour,Dawn Butler,19370,0.512,0.345,19370,6323,2024,2635,3729,0,0,0,0,0,0,0,0,0,3721,37802,0.489
Brent West,E14001123,London,London,England,Labour,Labour,Barry Gardiner,17258,0.417,0.0917,17258,13465,2061,3013,2805,0,0,0,0,0,0,0,0,0,2774,41376,0.518
Brentford and Isleworth,E14001124,London,London,England,Labour,Labour,Ruth Cadbury,20007,0.442,0.217,20007,10183,3940,3863,4029,0,0,0,0,0,0,0,0,0,3232,45254,0.581
Brentwood and Ongar,E14001125,Essex,East England,England,Conservative,Conservative,Alex Burghart,17731,0.367,0.124,11082,17731,11751,5809,1770,0,0,0,0,0,0,0,0,0,189,48332,0.652
Bridgwater,E14001126,Somerset,South West,England,Conservative,Conservative,Ashley Fox,12281,0.306,0.0336,10932,12281,8913,5781,1720,0,0,0,0,0,0,0,0,0,502,40129,0.561
Bridlington and The Wolds,E14001127,Humberside,Yorkshire and the Humber,England,Conservative,Conservative,Charlie Dewhirst,14846,0.346,0.0725,11721,14846,10350,3097,1595,0,0,0,0,0,0,0,0,0,1328,43077,0.589
Brigg and Immingham,E14001128,Humberside,Yorkshire and the Humber,England,Conservative,Conservative,Martin Vickers,15905,0.374,0.0763,12662,15905,10594,1442,1905,0,0,0,0,0,0,0,0,0,0,42508,0.638
Brighton Kemptown and Peacehaven,E14001129,East Sussex,South East,England,Labour,Labour,Chris Ward,17893,0.44,0.238,17893,8230,0,3949,7997,0,0,0,0,0,0,0,0,0,2617,40686,0.592
Brighton Pavilion,E14001130,East Sussex,South East,England,Green,Green,Si‰n Berry,28809,0.55,0.273,14519,3975,2836,1604,28809,0,0,0,0,0,0,0,0,0,620,52363,0.7
Bristol Central,E14001131,Avon,South West,England,Labour,Green,Carla Denyer,24539,0.566,0.24,14132,1998,1338,1162,24539,0,0,0,0,0,0,0,0,0,196,43365,0.618
Bristol East,E14001132,Avon,South West,England,Labour,Labour,Kerry McCarthy,20748,0.45,0.143,20748,6435,0,2713,14142,0,0,0,0,0,0,0,0,0,2071,46109,0.607
Bristol North East,E14001133,Avon,South West,England,Labour,Labour,Damien Egan,19004,0.453,0.266,19004,6216,5418,1964,7837,0,0,0,0,0,0,0,0,0,1550,41989,0.599
Bristol North West,E14001134,Avon,South West,England,Labour,Labour,Darren Jones,24058,0.496,0.323,24058,6773,4863,4159,8389,0,0,0,0,0,0,0,0,0,222,48464,0.647
